PUNJAB,Moga,995746,525920,469826,627889,348549,279340,363417,192418,170999,0,0,0,359172,292379,66793,304880,54292,636574,91622,82397,18098,167055,158414,9388,3277,818921,178,436,365,4767
PUNJAB,Firozpur,2029074,1071637,957437,1227511,707070,520441,855726,445461,410265,0,0,0,756695,596406,160289,618362,138333,1272379,191685,227971,14679,322360,906408,6844,19358,1090815,454,1143,278,3774
PUNJAB,Muktsar,901896,475622,426274,524848,300401,224447,381554,200473,181081,0,0,0,335326,272699,62627,287205,48121,566570,86565,111014,5187,132560,254920,4333,1681,638625,240,744,433,920
PUNJAB,Faridkot,617508,326671,290837,381285,215767,165518,240328,126567,113761,0,0,0,221555,185049,36506,190415,31140,395953,53230,54058,8225,106042,141363,3125,1227,469789,155,1109,103,637
PUNJAB,Bathinda,1388525,743197,645328,844868,488261,356607,450473,236936,213537,0,0,0,549986,432988,116998,452678,97308,838539,141535,128382,14938,265131,380569,16299,2474,984286,246,1266,559,2826
PUNJAB,Mansa,769751,408732,361019,423560,244037,179523,258878,136311,122567,0,0,0,328512,230739,97773,247175,81337,441239,105963,90367,13442,118740,156539,10375,917,598443,123,1577,493,1284
PUNJAB,Patiala,1895686,1002522,893164,1266791,711052,555739,465359,244503,220856,0,0,0,660267,549661,110606,570391,89876,1235419,113182,89123,23647,434315,783306,40043,5683,1059944,245,1914,1410,3141
PUNJAB,Amritsar,2490656,1318408,1172248,1684770,932981,751789,770864,405977,364887,0,0,0,917856,735195,182661,787254,130602,1572800,124617,121599,41642,629998,690939,12502,54344,1716935,876,3152,1044,10864
PUNJAB,Tarn Taran,1119627,589369,530258,666162,376427,289735,377468,198715,178753,0,0,0,380702,313639,67063,316310,64392,738925,115853,81216,21328,162305,60504,3855,6095,1044903,101,650,47,3472
PUNJAB,Rupnagar,684627,357485,327142,502731,278534,224197,180905,94334,86571,0,0,0,233676,186910,46766,194209,39467,450951,45640,21520,12321,154195,304481,14492,2094,361045,118,653,143,1601
PUNJAB,Sahibzada Ajit Singh Nagar,994628,529253,465375,736575,409944,326631,216231,114383,101848,0,0,0,355995,283367,72628,316236,39759,638633,40867,21791,13501,279836,476276,29488,5342,478908,257,1257,239,2861
PUNJAB,Sangrur,1655169,878029,777140,1002077,570413,431664,461609,244231,217378,0,0,0,568758,485129,83629,499792,68966,1086411,157191,91799,18578,301190,389410,179116,2406,1077438,268,3222,1038,2271
